Player,country,team,age,captain,role,sold
Ruturaj Gaikwad,IND,CSK,26,0,Batting,6cr
Shivam Dube,IND,CSK,29,0,All rounder,4cr
Ambati Rayudu,IND,CSK,37,0,Batting,6.75cr
Devon Conway,NZ,CSK,31,0,Batting,1cr
Moeen Ali,ENG,CSK,35,0,All rounder,8cr
MS Dhoni,IND,CSK,41,15,Batting,12cr
Ravindra Jadeja,IND,CSK,34,0,All rounder,16cr
Dwaine Pretorius,SA,CSK,33,0,All rounder,50l
Jagadeesan Narayan,IND,CSK,27,0,Batting,20l
Dwayne Bravo,WI,CSK,39,0,All rounder,4.40cr
Mitchell Santner,NZ,CSK,31,0,All rounder,1.90cr
Chris Jordan,ENG,CSK,34,0,All rounder,3.60cr
Maheesh Theekshana,SL,CSK,22,0,Bowling,70l
Simarjeet Singh,IND,CSK,25,0,Bowling,20l
Mukesh Choudhary,IND,CSK,26,0,Bowling,20l
Prashant Solanki,IND,CSK,23,0,Bowling,1.20cr
Matheesha Pathirana,SL,CSK,20,0,Bowling,20l
Tushar Deshpande,IND,CSK,27,0,Bowling,20l
David Warner,AUS,DC,36,6,Batting,6.25cr
Rishabh Pant,IND,DC,25,0,Batting,16cr
Prithvi Shaw,IND,DC,23,0,Batting,7.50cr
Mitchell Marsh,AUS,DC,31,0,All rounder,6.50cr
Rovman Powell,WI,DC,29,0,Batting,2.80cr
Axar Patel,IND,DC,29,0,All rounder,9cr
Lalit Yadav,IND,DC,26,0,All rounder,65l
Shardul Thakur,IND,DC,31,0,All rounder,10.75cr
Sarfaraz Khan,IND,DC,25,0,Batting,20l
Kuldeep Yadav,IND,DC,28,0,Bowling,2cr
Mandeep Singh,IND,DC,31,0,Batting,1.10cr
Srikar Bharat,IND,DC,29,0,Batting,2cr
Ripal Patel,IND,DC,27,0,All rounder,20l
Mustafizur Rahman,BAN,DC,27,0,Bowling,2cr
Anrich Nortje,SA,DC,29,0,Bowling,6.50cr
Khaleel Ahmed,IND,DC,25,0,Bowling,5.25cr
Chetan Sakariya,IND,DC,25,0,Bowling,4.20cr
Hardik Pandya,IND,GT,29,1,All rounder,15cr
Shubman Gill,IND,GT,23,0,Batting,8cr
David Miller,SA,GT,33,0,Batting,3cr
Wriddhiman Saha,IND,GT,38,0,Batting,1.90cr
Rahul Tewatia,IND,GT,29,0,All rounder,9cr
Matthew Wade,AUS,GT,35,0,Batting,2.40cr
Sai Sudharsan,IND,GT,21,0,Batting,20l
Abhinav Manohar,IND,GT,28,0,Batting,2.60cr
Rashid Khan,AFG,GT,24,0,All rounder,15cr
Vijay Shankar,IND,GT,32,0,All rounder,1.40cr
